Project Name,Project Description,Project Type,Project Manager,Region,Department, Project Cost , Project Benefit ,Complexity,Status,Completion%,Phase,Year,Month,Start Date,End Date
"Fierce, Inc.","While Traditional Marketing Approaches Have Never Been More Expensive, Is A Solution For Founders Who Want To Win At Content Marketing. Our Team Of Experienced Marketers Has Created A Proprietary Algorithm, Which Is Continuously Learned And Improved.",COST REDUCTION,Brenda Chandler,North,Warehouse,"45,57,606.00","90,14,448.00",High,Completed,100%,Phase 5 - Measure,2021,4,04-01-2021,07-01-2021
Town Hall Meeting,"Was Founded By A Group Of Marketers Who Were Tired Of Relying On Content Creation Scripts And Templates, And Wanted To Run A Business With The Perfect Balance Of Creativity And Efficiency. We Believe That Automation Is The Key To Optimizing The Way We Create And Consume Content And We Want To Give Founders And Marketers The Same Tools We Use To Scale Our Own Content Marketing Efforts.",COST REDUCTION,Nyasia Hunter,North,eCommerce,"34,42,649.00","90,70,797.00",Low,Completed,100%,Phase 2 - Develop,2021,5,05-01-2021,08-01-2021
Passion Chasers,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. Technology \N \N Ai-Powered Content Management System For Cmos",COST REDUCTION,Brenda Chandler,South,Supply Chain,"59,53,512.00","85,86,905.00",Medium,Cancelled,89%,Phase 2 - Develop,2021,6,06-01-2021,09-01-2021
Static Startup,"If You Are Making Less Than $50,000 With Your Startup Company, You’Re In Luck. Companies Who Are Making Less Than That Are Eligible For The Associations Now Program. Associations Now Is An Algorithm That Helps Startups Find Niche Or Narrow Topics That Are Related To Your Industry Or Target Audience. It Is Like Word Of Mouth Marketing, But You Pay For It!",COST REDUCTION,Jaylyn Mckenzie,East,Admin & BI,"58,69,643.00","88,02,862.00",High,Completed,100%,Phase 3 - Plan,2021,12,12-01-2021,03-01-2022
Yoda,"A New Method For Creating Content Is On The Horizon. Instead Of Grinding Away At A Text Editor, Is A Brand New Solution For Founders Who Want To Win At Content Marketing. By Using A Proprietary Ai, Analyzes The Competition For Your Topic Online Based On The Density Of Articles (Seo), Average Length (Ltv), Content Analysis (Average Article Quality), And Other Popular Ranking Factors To Act As Your Content Marketing Coach. This Means You Can Create Optimized Content Faster With State-",COST REDUCTION,Yael Wilcox,North,Admin & BI,"58,59,707.00","86,97,391.00",Medium,In - Progress,80%,Phase 4 - Implement,2022,7,07-01-2022,10-01-2022
Match Of Health,Quickly Identify Who Your Competition Is On Any Given Topic-Using Ai Learn How To Create Optimal Content Faster With State Of The Art Ai Generation-Compete On Topics Across Industries-Discover What Content Works,COST REDUCTION,Kamari Norris,West,eCommerce,"41,72,827.00","89,42,009.00",High,In - Progress,75%,Phase 1 - Explore,2022,7,07-01-2022,10-01-2022
No-Bull Bootcamp,"Is The Only Ai-Enabled Content Marketing Tool That Helps Founders Win At Content Marketing. Built By Marketers For Marketers, Our Proprietary Ai Technology Analyzes The Competition For Specific Topics, And Our Content Generation Engine Provides State Of The Art Ai-Generated Content For Maximum Impact.",COST REDUCTION,Kamari Norris,West,Admin & BI,"27,45,999.00","85,67,877.00",Low,Cancelled,88%,Phase 4 - Implement,2022,9,09-01-2022,12-01-2022
School Leadership 2.0,"Want To Win At Content Marketing? Is Here To Help. We Give You The Capability To Output Highly-Optimized, Contextual Content Through Ai-Generated Content In Minutes. You Can Build In Content In Minutes Without Having To Even Write Anything. Our In-House Ai Takes Care Of The Optimizing Of All Your Content For Your Industry And Audience.",COST REDUCTION,Kamari Norris,West,Supply Chain,"44,97,364.00","90,22,111.00",High,Completed,100%,Phase 2 - Develop,2022,10,10-01-2022,01-01-2023
Road-To-Success Workshop,"Works With You To Win. You Can Get Started With 10 Days Free Trial.\N-Works With Any Size Company, No Matter Your Size\N-All Features Are Accessible From Our Wordpress Plugin",COST REDUCTION,Brenda Chandler,North,Admin & BI,"46,46,988.00","90,06,076.00",Medium,Completed,100%,Phase 2 - Develop,2022,12,12-01-2022,03-01-2023
Code Change Group,Join Up With The Leader Of The Pack. All Founders Need To Win At Content Marketing,COST REDUCTION,Nyasia Hunter,North,Supply Chain,"54,12,530.00","85,27,421.00",Medium,In - Progress,80%,Phase 2 - Develop,2023,1,01-01-2023,05-01-2023
Moving Bird,"Allows You To Track And Optimize Your Content And Build A Personal Content Plan Tailored To You And Your Business Strategy. You’Ll Know How Well Your Content Is Performing And Understand How Different Versions, Versions Changes And Versions Versions Compare Against Your Content Targets.",COST REDUCTION,Deacon Delacruz,West,Supply Chain,"45,05,069.00","84,78,594.00",High,Completed,100%,Phase 1 - Explore,2023,5,05-01-2023,08-01-2023
Leadership Minds,"It Just Not In The Script. Using Award-Winning Ai Technology, Helps Content Marketers Win With Content That Drives Results. Experts In Your Market Segment Align Your Content Strategy To Your Audience’S Needs.",COST REDUCTION,Aleena Khan,East,Supply Chain,"31,07,456.00","90,40,473.00",Low,Cancelled,82%,Phase 2 - Develop,2023,7,07-01-2023,10-01-2023
Commission Kings,"Is An Ai-Powered Marketing Platform That Helps Businesses Create Optimized Content Faster. It Uses Ai To Analyze The Competition To Find The Right Channels For Your Business, And Helps You Build Better Content For Any Market Using State Of The Art Ai Generation Technology.",COST REDUCTION,Deacon Delacruz,North,eCommerce,"30,14,053.00","89,04,627.00",Low,Completed,100%,Phase 3 - Plan,2023,11,11-01-2023,02-01-2024
Stratos,"Is Your End-To-End Solution For Winning At Content Marketing. ’S Proprietary Ai Will Analyze The Competition For Your Topic, And Help You Create Optimized Content Faster With State-Of-The-Art Ai Generation.",COST REDUCTION,Jaylyn Mckenzie,East,Sales and Marketing,"24,29,395.00","89,13,514.00",Low,In - Progress,74%,Phase 1 - Explore,2023,12,12-01-2023,03-01-2024
A Night To Celebrate,"Is A Global Content Marketing Software Company Offering A Saas Platform For Fast, Scalable, And Reliable Content Marketing. The Platform Is Specifically Designed For Top Ceos, Design Agencies, And Developers Who Want To Compete Effectively In Today’S Customer-Focused World.",COST REDUCTION,Nyasia Hunter,North,Warehouse,"27,06,279.00","85,47,124.00",Medium,In - Progress,86%,Phase 4 - Implement,2024,4,04-01-2024,07-01-2024
The Domain Of Work,Get The Edge. The Promise Of The Future Is That Anyone Can Create Any Content They Want By Routing Their Personal Skills And Experience To An Area Of Expertise. What Do You Th The Most Important Skill In The Future Is? How About The One Most In Demand? Quite Possibly Both Are “Content Marketing. ”,COST REDUCTION,Brenda Chandler,West,Supply Chain,"51,50,366.00","88,77,742.00",Low,On - Hold,72%,Phase 3 - Plan,2025,4,04-01-2025,07-01-2025
Impact Training,"Is A Solution For Founders Who Want To Win At Content Marketing. With Industry Leading Ai, We Find The Content That Matches Your Audience, And We Help You Create Optimized Content And Scale With State Of The Art Ai Generation.",COST REDUCTION,Deacon Delacruz,North,Supply Chain,"56,20,822.00","87,57,403.00",High,Completed,100%,Phase 5 - Measure,2025,4,04-01-2025,07-01-2025
Social Geek Made,"Is A Startup That Has Taken A Big Shift In The World Of Content Marketing. We Use Proprietary Ai To Analyze And Understand The Competition And Recommend Optimized And Devious Content Strategies To Win The Game. The Three Main Capabilities Of Are Content Generation, Social Media Optimization, And Content Optimization. With Our Ai Driven Content Generation And Optimization, We Help Our Entrepreneur-Founders Get Their Job Done More Efficiently And Effectively",COST REDUCTION,Brenda Chandler,West,eCommerce,"26,81,420.00","90,89,277.00",Medium,Completed,100%,Phase 2 - Develop,2025,6,06-01-2025,09-01-2025
Sirius,"In Today’S World, Content Marketers Must Continuously Search For Compelling Topics, Create Content That Is Optimized For Search, And Manage Their Messaging Across Platforms. In-Focus Metrics And Data Tracking Are Tightly Controlled By The Competitive Landscape, And The The Demands Of Your Customers Mean That Your Content Marketing Strategy Is Constantly Need To Improve. Associations Now Is A Customizable, On-Demand Solution That Blends The Latest In Content Marketing Technology With Modern Tools For Entrepreneurs.",COST REDUCTION,Kamari Norris,South,Warehouse,"48,05,056.00","88,95,516.00",High,Cancelled,79%,Phase 5 - Measure,2025,6,06-01-2025,09-01-2025
Fast Coding,"Is A Solution For Founders Looking To Win At Content Marketing. We Help Entrepreneurs And Startups Stay One Step Ahead By Accurately Analyzing Their Legal And Competitive Landscape, And Working With Our Proprietary Ai Engine, We Provide Custom Generated Content That Will Influence Customers.",COST REDUCTION,Aleena Khan,West,Warehouse,"26,93,471.00","91,03,716.00",Low,Completed,100%,Phase 2 - Develop,2025,6,06-01-2025,09-01-2025
The Discovery Of Era,"In Marketing, If You Want To Win, You Need To Make Sure You Know Your Competition. Our Ai Analyzes The Science Of Content Marketing, Helping You Create Optimized Content Faster, Be Ahead Of Your Competitors, And Win At Marketing.",COST REDUCTION,Yael Wilcox,West,Admin & BI,"49,08,311.00","90,69,817.00",Medium,In - Progress,74%,Phase 3 - Plan,2025,8,08-01-2025,11-01-2025
Revolution,"Was Founded To Help Founders And Entrepreneurs Build Winning Marketing Strategies In The Age Of Artificial Intelligence. We Use Ai To Analyze The Competition And Offer Personalized Content Marketing Suggestions, State Of The Art Ai Generation, And Content Marketing Optimization.",COST REDUCTION,Jaylyn Mckenzie,East,eCommerce,"46,06,575.00","86,58,343.00",High,In - Progress,77%,Phase 4 - Implement,2025,11,11-01-2025,03-01-2026
Rhinestone,Associations Now Is A Casual Game To Teach You How .Io Algorithmically Creates Content For You. It Is The World First Game For Content Marketing Education. Find Out How Your Topic Is Used In The Wild.,INCOME GENERATION,Yael Wilcox,North,Admin & BI,"36,48,615.00","84,43,980.00",High,In - Progress,77%,Phase 4 - Implement,2021,2,02-01-2021,06-01-2021
A Triumph Of Softwares,Is A Fully Managed Content Marketing Software Deal For Saas Companies Who Want To Focus On Their Customers And The Big Idea In 2018.,INCOME GENERATION,Brenda Chandler,West,eCommerce,"40,18,835.00","90,12,225.00",High,Cancelled,80%,Phase 2 - Develop,2021,3,03-01-2021,06-01-2021
The Blue Bird,"Most Content Marketers Know The Golden Rule: You Must Put Quality Content First. Is A Solution For Founders Who Want To Win At Content Marketing, And It Helps You Create Content Faster With State Of The Art Ai Generation. Our Proprietary Ai Analyzes The Content Of Your Competitors And Helps You Generate Optimized Content Faster.",INCOME GENERATION,Nyasia Hunter,North,Warehouse,"42,85,483.00","90,78,339.00",High,Completed,100%,Phase 4 - Implement,2021,3,03-01-2021,06-01-2021
Disruptor Training,"Associations Now Provides A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. Our Easy-To-Use Platform Makes It Easy Setup, Test, And Publish Content For Your Business.",INCOME GENERATION,Yael Wilcox,South,Admin & BI,"35,08,173.00","87,62,992.00",High,On - Hold,75%,Phase 5 - Measure,2021,5,05-01-2021,08-01-2021
The Wonders Of Geek,"Is Superior At What It Does. One Examination Of Our Databases Shows Us That, On Average, Competitors Create Content An Average Of 10 Days Before Us. With Our Ai At Work, That Gap Shrs To 2 Days.",INCOME GENERATION,Kamari Norris,South,Admin & BI,"34,40,225.00","87,61,979.00",High,In - Progress,91%,Phase 3 - Plan,2021,9,09-01-2021,12-01-2021
Sputnik,"How Do Asos, Walmart, And Lululemon Do It? They Are All Wildly Successful Brands On The Internet Because They Are Constantly Pushing Out Content For Their Target Audience. However, With The Rise Of Ad Blockers, This Has Become Harder And Harder For The Average Internet Marketer To Achieve. Was Created To Provide An Answer! Uses Ai To Analyze The Competition For Your Topic And To Help You Create The Perfect Content Faster.",INCOME GENERATION,Kamari Norris,East,Warehouse,"29,00,355.00","89,79,944.00",High,In - Progress,84%,Phase 1 - Explore,2021,10,10-01-2021,01-01-2022
Active Achievement,Helps Founders And Marketers Generate Better Topics And Content For Their Organization. We’Re A Software As A Service That Helps Organizations Compete Against Other Organizations By Leveraging Ai And Unique Algorithms To Provide Unique Points Of Differentiation And Competitive Edge.,INCOME GENERATION,Deacon Delacruz,North,Admin & BI,"25,48,471.00","90,25,609.00",Low,Cancelled,78%,Phase 5 - Measure,2021,11,11-01-2021,03-01-2022
Excalibur Training,"Attention, Founders. We Automatically Generate Content For You By Scanning The Sites Of Your Competition--Allowing You To Never Be Caught Off Guard Again. Additionally, Offers A Service That Will Help You Generate The Content For Your Site--So You Can Spend More Time Growing Your Brand, And Less Time On Content Creation.",INCOME GENERATION,Brenda Chandler,West,Sales and Marketing,"38,14,857.00","85,29,903.00",Low,Cancelled,84%,Phase 5 - Measure,2022,2,02-01-2022,06-01-2022
Code Poltergeists,"We Promised Our Founders A High-Quality Product, A Profitable Business, And A Successful Startup Dealing With A Hot Issue Or Pain Point. We Also Promised That Today’S Top Brand Content Marketers Would Have A Tough Time Beating Our Products. That’S Why We Created Incker, A Unique Ai Solution That Can Generate Content Your Audience Will Never Get Enough Of.",INCOME GENERATION,Aleena Khan,North,Warehouse,"32,01,907.00","88,00,186.00",High,Cancelled,77%,Phase 4 - Implement,2022,3,03-01-2022,06-01-2022
Great Leadership,"Is For Founders With Content Marketing On Their Minds. Imagine Being Able To Find Your Targeted Customer On Instagram In Seconds, Share Your Content On The Same Platform Automatically, And Then Use These Insights To Create New Metrics Based On Your Audience’S Engagement.",INCOME GENERATION,Aleena Khan,West,Admin & BI,"56,09,775.00","90,84,256.00",High,Completed,100%,Phase 3 - Plan,2022,4,04-01-2022,07-01-2022
Orange Leaders,"Is A Solution For Brands And Bloggers To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help Create Optimized Content Faster, With State Of The Art Ai Generation. Unlike Machine Learning Which Takes Days For Results, Delivers Content In Less Than 2 Hours.",INCOME GENERATION,Aleena Khan,North,Admin & BI,"45,02,248.00","90,11,638.00",Medium,In - Progress,77%,Phase 5 - Measure,2022,5,05-01-2022,08-01-2022
"Linkage, Inc.","Rebranding Is An Art, And Associations Now Is Your Main Tool. Engage New Customers And Keep Existing Ones With Custom-Tailored And Personalized Content And Experiences And An Easy-To-Use Interface.",INCOME GENERATION,Brenda Chandler,West,eCommerce,"59,13,478.00","90,96,409.00",Medium,Cancelled,74%,Phase 1 - Explore,2022,6,06-01-2022,09-01-2022
The Success,5-15% Of Your First Product Sale Is The Payback.,INCOME GENERATION,Yael Wilcox,South,eCommerce,"26,31,019.00","85,84,025.00",Low,Completed,100%,Phase 3 - Plan,2022,7,07-01-2022,10-01-2022
Yaeger,"""15 Five"" Is The World Most Sophisticated Content Marketing Ai Engine. We Bundle Our Ai With Our Service To Help Companies Climb Up The Middle.",INCOME GENERATION,Aleena Khan,East,Supply Chain,"42,49,668.00","85,48,973.00",Low,In - Progress,89%,Phase 1 - Explore,2022,8,08-01-2022,11-01-2022
The Experienced Dude,"Gets You Up And Running Quickly By Creating A Compelling Content Plan For You Including A Depth Of Content, How To Optimize It, And A Detailed Budget.",INCOME GENERATION,Aleena Khan,South,Warehouse,"55,70,834.00","84,29,375.00",Low,In - Progress,75%,Phase 4 - Implement,2022,10,10-01-2022,01-01-2023
Mentee To Mentor,"Content Is A Cornerstone Of Modern Building A Communications Strategy. It Informs And Engages Audiences, And Serves Consumers Well. However, A Seldom-Addressed Challenge For Marketers Is Building A Consistent Brand Based On Consistent Content That Stands Out With Consumers.",INCOME GENERATION,Nyasia Hunter,West,Admin & BI,"50,72,095.00","86,65,889.00",Low,On - Hold,80%,Phase 4 - Implement,2022,11,11-01-2022,03-01-2023
The Art Of Codes,"Association Now Operates Like An Ai Editor, Working Invisibly Behind The Scenes To Help Brands Create Optimized Content. Associations Now Ai Platform Analyzes The Competition For Your Topic. When Your Ai Content Is Complete, It’S Custom-Printed, Personalized, And Delivered To Your Audience.",INCOME GENERATION,Brenda Chandler,North,Sales and Marketing,"56,43,858.00","85,73,039.00",High,Cancelled,87%,Phase 5 - Measure,2023,7,07-01-2023,10-01-2023
Only Project Experience,"Is An Instant Answer For Content Marketing. It Was Built By Founders Who Want To Win At Content Marketing And Who Understand The Importance Of Interrupting Through Content. Builds, Executes And Manages Long-Term Strategy, And Generates Personalized Content For Your Target Audience.",INCOME GENERATION,Nyasia Hunter,East,Warehouse,"25,11,189.00","87,76,602.00",High,On - Hold,91%,Phase 5 - Measure,2023,9,09-01-2023,12-01-2023
Meetup For The Good,"Is A New Content Marketing Platform That Replicates All Of The Work Of Our Competitor Top-Performing Content, Without Their Busy Workflow Of Copywriter, Editor, And Visual Designer.",INCOME GENERATION,Deacon Delacruz,East,Sales and Marketing,"27,45,287.00","89,57,341.00",High,On - Hold,78%,Phase 2 - Develop,2023,9,09-01-2023,12-01-2023
White Feather,"The App Is The Perfect App For Marketers Who Want To Win At Content Marketing. With , You Can Use Ai To Analyze The Competition, Track Competitors’ Content, Generate Optimized Content, And Engage In Direct Competitor Outreach.",INCOME GENERATION,Yael Wilcox,South,Warehouse,"25,78,748.00","90,69,084.00",Low,On - Hold,91%,Phase 5 - Measure,2023,9,09-01-2023,12-01-2023
Project Explained,"It All Starts With A Simple Tagline: ""Create The Content That Matters."" It An Exciting, Lucrative Tagline That The Core Of The Company Business.",INCOME GENERATION,Brenda Chandler,North,Admin & BI,"51,56,291.00","85,19,274.00",High,Completed,100%,Phase 5 - Measure,2023,11,11-01-2023,02-01-2024
Practice To Perfect,"Instantly Win At Content Marketing. With 15 Five, You Can Now Generate Content With Artificial Intelligence Instead Of Human Labor. Analyzes The Competition For Your Business Topic, Helps You Structure Your Content Faster, Create Content Faster, And Increase Your Chances Of Success.",INCOME GENERATION,Yael Wilcox,South,Warehouse,"32,42,647.00","85,31,617.00",Low,Completed,100%,Phase 3 - Plan,2024,9,09-01-2024,12-01-2024
Soul Spartans,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. With , You No Longer Have To Sit And Wait For Your Content To Be Used.",INCOME GENERATION,Deacon Delacruz,North,eCommerce,"24,18,301.00","91,38,940.00",High,Cancelled,75%,Phase 4 - Implement,2024,9,09-01-2024,12-01-2024
15 Five,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",INCOME GENERATION,Jaylyn Mckenzie,North,Warehouse,"42,58,440.00","85,77,445.00",Medium,In - Progress,85%,Phase 1 - Explore,2024,10,10-01-2024,01-01-2025
Skill Up,"The Current Reality Of Content Marketing Is That Content Is Now Abundant, And Your Competitors Are Working Hard To Make Their Content As Good As Your Best Material. But What Works For Your Competitors May Not Work For You. We Use Proprietary Ai To Analyze The Competition For Your Topic And Help You Create Optimized Content Faster With State Of The Art Ai Generation.",INCOME GENERATION,Kamari Norris,North,Warehouse,"36,78,091.00","89,85,903.00",Medium,On - Hold,89%,Phase 2 - Develop,2024,12,12-01-2024,03-01-2025
Wombat,"Is The Only Ai Platform That Uses Ai For Content. We Are Building A Product To Help Founders Win With Content Marketing. Right Now, Founders Are Using Quick Tricks To Create Low Quality Content Fast. But, Big Brands Are Crushing Them With Ai-Based Content Generation That Looks Customized For The Audience, Is Optimized For The Content Strategy, And Is Written By An Ai. We Are Creating A Product That Can Compete With These Ai-Powered Businesses By Leveraging Our Ai To Analyze The Competition, Create Optimized",INCOME GENERATION,Aleena Khan,West,Admin & BI,"36,52,611.00","91,15,922.00",Low,Completed,100%,Phase 5 - Measure,2024,12,12-01-2024,03-01-2025
Debug Entity,"In This Ecosystem, Association Content Is Simplified, Made Easier, And Addressed As A Holistic Activity.",INCOME GENERATION,Kamari Norris,North,Warehouse,"47,90,417.00","88,72,443.00",Medium,In - Progress,73%,Phase 4 - Implement,2025,9,09-01-2025,12-01-2025
Remembering Our Ancestors,"Utilize And Utilizes (Verb Form) The Open, Inclusive, And Uncontrollable Content Marketplace To Make Your Brand The Top Content Site For Your Topic.",PROCESS IMPROVEMENT,Brenda Chandler,East,Sales and Marketing,"52,85,864.00","87,19,006.00",High,Cancelled,75%,Phase 5 - Measure,2021,3,03-01-2021,06-01-2021
